Sequence,Group,SCOP sunid
d1huxa_,group106,53067
d1elwa_,group42,48452
d2tgi__,group187,57501
d1d09b2,group196,57825
d1c1da2,group108,53223
d1c1da1,group82,51735
d1mwva1,group57,48113
d1ckma2,group166,56091
d1mwva2,group57,48113
d1bj4a_,group215,53383
d1p38__,group333,56112
d1k42a_,group99,49785
d1pxfa_,group116,50249
d1ugia_,group132,54441
d1jnsa_,group264,54534
d1f0ya1,group39,48179
d1f0ya2,group82,51735
d1gt7a_,group221,53639
d1o17a1,group39,47648
d1cx4a1,group78,51206
d1f44a1,group31,47823
d1jwwa_,group285,55008
d1avwb_,group63,50386
d1psra_,group23,47473
d1shca_,group131,50729
d1jf9a_,group215,53383
d1j23a_,group105,52980
d1dmha_,group48,49482
d1ga6a_,group192,52743
d1jg1a_,group111,53335
d1fy7a_,group157,55729
d1abrb2,group120,50370
d2rhe__,group78,48726
d1b74a1,group225,53681
d1b74a2,group115,53681
d1tgoa2,group350,56672
d1gtxa_,group215,53383
d1f7sa_,group311,55753
d1wdna_,group237,53850
d256ba_,group14,47175
d1ekxa2,group224,53671
d1h03p1,group377,57535
d1d4ua1,group6,46955
d2liv__,group119,53822
d2ezi__,group7,46689
d1ja8a2,group273,54719
d1k5ma_,group419,88633
d1orna_,group58,48150
d1b77a2,group164,55979
d1qipa_,group135,54593
d1ezvd1,group3,46626
d1gpr__,group79,51261
d1pava_,group401,64307
d1o7nb_,group132,54427
d1bu8a2,group114,53474
d1dzka_,group69,50814
d1qba_3,group157,51445
d1qba_2,group47,49384
d1gw5m2,group159,64356
d1em9a_,group51,47943
d1jb0f_,group207,81536
d1f5ya2,group371,57424
d1f5ya1,group371,57424
d1d5ya2,group7,46689
d1faq__,group393,57889
d5eau_1,group63,48239
d1gkza1,group19,69012
d1allb_,group1,46458
d1kq1a_,group61,50182
d1jroa3,group300,55447
d1mfga_,group60,50156
d1mzha_,group159,51569
d1iarb1,group79,49265
d1krha2,group91,52343
d1krha3,group254,54292
d1dgsa1,group31,47781
d1ej0a_,group111,53335
d1vhra_,group100,52799
d1ju8a_,group361,57059
d1ob1c1,group365,57196
d1ks8a_,group40,48208
d1mpya2,group266,54593
d1mpya1,group266,54593
d1rhs_1,group197,52821
d1kfwa2,group265,54556
d1ah7__,group73,48537
d1qjca_,group183,52374
d1lf2a_,group128,50630
d1nat__,group176,52172
d1aly__,group102,49842
d1pkp_1,group129,54211
d1cii_1,group354,56837
d1vig__,group140,54791
d1jr3a1,group37,48019
d1gqoa_,group180,52304
d1a9na_,group171,52058
d1qisa_,group215,53383
d1rypd_,group336,56235
d1e0ta3,group200,52935
d1put__,group254,54292
d1vie__,group58,50090
d1avpa_,group125,54001
d1m12a_,group33,47862
d1qopb_,group116,53686
d1hz4a_,group42,48452
d1al3__,group120,53850
d1inp__,group349,56655
d1i2ua_,group180,57095
d1f5ma_,group159,55781
d1e79i_,group44,48690
d1gp6a_,group146,51197
d1ycsa_,group47,49417
d1cvua2,group365,57196
d1cvua1,group57,48113
d1amx__,group47,49401
d1bu2a1,group52,47954
d1bu2a2,group35,47954
d1aho__,group180,57095
d1gnua_,group130,54236
d1klil_,group180,57196
d1g6ga_,group54,49879
d1sur__,group92,52402
d1ddga1,group396,63380
d1ddga2,group182,52343
d1l7la_,group52,49785
d1p4oa_,group333,56112
d1ceqa2,group172,56327
d1ep3b1,group64,63380
d1ep3b2,group91,52343
d1eh1a_,group291,55194
d1i7pa2,group182,52343
d1i7pa1,group64,63380
d1jj2m_,group106,53137
d2prga_,group72,48508
d1igqa_,group107,50037
d1bw3__,group67,50685
d1nsoa_,group128,50630
d1e88a3,group190,57603
d1h41a2,group152,55545
d3mdda1,group25,47203
d3mdda2,group348,56645
d1f2ea1,group38,47616
d1bw5__,group7,46689
d1f3va_,group142,55044
d1g6sa_,group145,55205
d1dxja_,group124,53955
d1uxd__,group33,47413
d1ihka_,group119,50353
d1d2la_,group371,57424
d1chc__,group391,57850
d1fxla1,group283,54928
d1tocr2,group182,57362
d1fxla2,group283,54928
d1niya_,group361,57059
d1i8ta2,group131,54373
d1dbta_,group154,51366
d1jwib_,group343,56436
d1nfp__,group163,51679
d1rmd_1,group192,57667
d1rmd_2,group197,57850
d1k7ca_,group90,52266
d1dtwb1,group190,52518
d1fwxa1,group49,49503
d1fwxa2,group72,50974
d1dtwb2,group199,52922
d1le6a_,group76,48619
d1ifya_,group5,46934
d1ezva1,group200,63411
d1aky_2,group196,57774
d1eera_,group16,47266
d1c4ka2,group112,53383
d1fnma4,group284,54980
d1ltla_,group62,50249
d2ezl__,group4,46689
d1qlaa1,group7,46977
d1ju3a1,group52,49785
d1kssa3,group174,56425
d1kssa1,group77,48695
d1iz7a_,group217,53474
d1i16__,group112,50156
d1go3e2,group209,88798
d1ner__,group21,47413
d1daba_,group76,51126
d1qrjb1,group30,47353
d1bnb__,group369,57392
d1g7ea_,group101,52833
d1m2tb1,group120,50370
d1e0ba_,group58,54160
d1m2tb2,group120,50370
d1l9va1,group128,75347
d1n6za_,group146,89975
d1kvna_,group406,69695
d1dbwa_,group176,52172
d1g40a3,group377,57535
d1dsya_,group93,49562
d1j34b_,group343,56436
d1gw5s_,group402,64356
d1jjia_,group217,53474
d1b35b_,group208,88633
d1h32a1,group3,46626
d1a99a_,group237,53850
d1jh3a_,group290,55174
d1fxoa_,group113,53448
d1d2oa1,group48,49478
d1iow_2,group166,56059
d1iow_1,group93,52440
d1atb__,group379,57567
d1mhna_,group400,63748
d2ech__,group378,57552
d1ki0a3,group373,57440
d1qqsa_,group69,50814
d1gd0a_,group148,55331
d1jmab1,group380,57586
d1hae__,group365,57196
d1m2fa_,group90,52172
d1gcca_,group127,54171
d1qjka_,group198,57868
d1b7fa2,group283,54928
d2tpt_1,group39,47648
d1afra_,group15,47240
d1neb__,group108,50044
d1fo0b_,group78,48726
d2bbva_,group208,88633
d1qvba_,group157,51445
d1b3qa2,group62,50341
d1hzta_,group160,55811
d1jzga_,group49,49503
d1k0ra2,group141,54814
d1adr__,group21,47413
d1or7a1,group423,88659
d1jbaa_,group35,47473
d1foha3,group101,52833
d1bbha_,group23,47175
d1kkea1,group101,49835
d1c75a_,group3,46626
d1li5a1,group17,47323
d2plc__,group164,51695
d1dqea_,group23,47565
d1glqa1,group38,47616
d1jeqa1,group201,68906
d1eg7a_,group97,52540
d1k04a_,group14,68993
d1kfia2,group117,53738
d1kfia1,group117,53738
d1c22a_,group322,55920
d1j8mf1,group31,47364
d1a0fa1,group26,47616
d1kfia4,group325,55957
d1kid__,group85,52029
d1ku3a_,group423,88659
d1jb0j_,group207,81544
d1oboa_,group177,52218
d1ajj__,group371,57424
d1c52__,group3,46626
d1lucb_,group163,51679
d1vpwa1,group21,47413
d1h6va3,group299,55424
d1h6va2,group167,51905
d1n87a_,group197,57850
d1nv8a_,group214,53335
d1mm2a_,group394,57903
d1esc__,group90,52266
d1lac__,group148,51230
d2lefa_,group11,47095
d1dsva_,group195,57756
d1c55a_,group362,57095
d1gvoa_,group81,51395
d1a09a_,group305,55550
d1lxia_,group376,57501
d1swua_,group70,50876
d1me4a_,group125,54001
d1dv5a_,group18,47336
d1dcia_,group87,52096
d1jj2p_,group58,50104
d1fqva2,group86,52047
d7reqb1,group165,51703
d7reqb2,group90,52242
d1kyfa1,group46,49348
d1gcoa_,group166,51735
d3cyr__,group77,48695
d1b6e__,group343,56436
d1isua_,group191,57652
d1krra_,group144,51161
d1quba3,group377,57535
d2cbla1,group23,47473
d1o7xa_,group64,48256
d1m31a_,group35,47473
d1nkua_,group38,48150
d1mdya_,group22,47459
d1hr6a2,group397,63411
d1hr6a1,group397,63411
d1ezve2,group207,81502
d1p1ma2,group158,51556
d1c4zd_,group262,54495
d1jpya_,group187,57501
d1ngka_,group1,46458
d1j7da_,group262,54495
d1k28a1,group62,69255
d3pvia_,group105,52980
d1mqda_,group237,53850
d1m9za_,group181,57302
d2gsaa_,group215,53383
d1c8na_,group208,88633
d1doqa_,group31,47789
d1jj2l_,group248,54189
d1fsea_,group11,46894
d1de4a2,group261,54452
d1ktke1,group78,48726
d1nnja1,group13,46946
d1nnja2,group416,81624
d1ocrl_,group207,81427
d1of4a_,group52,49785
d1d1ga_,group218,53597
d1g12a_,group152,55486
d1ezm__,group152,55486
d1p42a2,group129,54211
d1rie__,group106,50022
d1h2sa_,group410,81321
d1d2ja_,group371,57424
d1hlwa_,group142,54919
d1ruxa2,group208,49749
d1gpea2,group131,54373
d2pgd_1,group39,48179
d1m7sa_,group347,56634
d1mixa1,group19,47031
d1nr0a2,group137,50978
d1nr0a1,group72,50978
d1mixa2,group68,50729
d1jyga_,group31,69047
d1j7la_,group333,56112
d1jmqa_,group139,51045
d1k9sa_,group208,53167
d1iw4a_,group186,57467
d1llfa_,group217,53474
d1g5ca_,group204,53056
d1hm9a1,group144,51161
d1hm9a2,group113,53448
d1jmxa1,group3,46626
d1doi__,group254,54292
d1h6ya_,group52,49785
d1lfwa2,group142,55031
d1e31a_,group395,57924
d1eaic_,group379,57567
d1lc0a2,group149,55347
d1dzla_,group208,88648
d1scjb_,group279,54897
d1h1js_,group201,68906
d1f68a_,group32,47370
d1n67a1,group47,49401
d1n67a2,group47,49401
d1fvqa_,group285,55008
d1i7qb_,group90,52317
d1aoha_,group47,49384
d1fada_,group36,47986
d1lrv__,group42,48371
d1e6ba2,group101,52833
d1kbva1,group92,49503
d1kbva2,group92,49503
d1e9ga_,group117,50324
d1ctda_,group23,47473
d1mml__,group176,56672
d1toaa_,group118,53807
d1pex__,group135,50923
d1xdtr_,group365,57196
d1f00i1,group86,49373
d1l3pa_,group14,81736
d1f00i3,group175,56436
d1f00i2,group86,49373
d1b9ha_,group112,53383
d1ycsb1,group69,48403
d1ncwh1,group78,48726
d1xo1a1,group46,47807
d1ycsb2,group108,50044
d1ohea1,group100,52799
d1fmya_,group392,57868
d1opoa_,group419,88633
d1l0lg_,group207,81508
d1hzia_,group16,47266
d1c0aa1,group116,50249
d1a2va2,group132,54416
d1a2va3,group132,54416
d1lrza2,group157,55729
d1jpdx1,group160,51604
d2cbla3,group153,55550
d2cbla2,group29,47668
d1i4wa_,group111,53335
d1dxga_,group196,57802
d1jvr__,group32,47836
d1jw2a_,group13,68989
d1g1ta1,group175,56436
d1lara2,group196,52799
d1rype_,group336,56235
d1cjwa_,group310,55729
d1lara1,group196,52799
d1itza3,group199,52922
d1kte__,group101,52833
d1fu6a_,group305,55550
d1ih7a1,group106,53098
d1gcqa_,group108,50044
d1nwva1,group377,57535
d1oyb__,group155,51395
d1k5db_,group68,50729
d1lrza1,group2,46589
d1uroa_,group81,51726
d1pyia1,group384,57701
d1k0wa_,group221,53639
d1zrn__,group177,56784
d1dtja_,group140,54791
d1hnja2,group121,53901
d1stma_,group422,88650
d1qfta_,group69,50814
d1lqsr2,group79,49265
d1hnja1,group121,53901
d1lqsr1,group79,49265
d1hlva1,group7,46689
d1qkya_,group362,57095
d1ep3a_,group155,51395
d1hlva2,group7,46689
d1a33__,group134,50891
d1dgfa_,group347,56634
d1np7a2,group185,52425
d1e6yb2,group288,55088
d1np7a1,group59,48173
d1qcxa_,group76,51126
d1vmoa_,group75,51092
d1befa_,group66,50494
d2eiaa1,group30,47353
d1a4ia2,group108,53223
d2eiaa2,group51,47943
d1diqc_,group3,46626
d1apme_,group333,56112
d1kzla1,group64,63380
d5znf__,group192,57667
d1qtoa_,group135,54593
d1cg5a_,group1,46458
d1m53a2,group157,51445
d1m1na_,group118,53807
d1u2fa_,group283,54928
d1ktba1,group73,51011
d1jk3a_,group152,55486
d1euvb_,group130,54236
d1efvb_,group184,52402
d1d0na4,group311,55753
d1auib_,group35,47473
d1d0na6,group311,55753
d1n8fa_,group159,51569
d1qksa1,group3,46626
d1gkab_,group133,50814
d1qovm_,group415,81483
d1j8ea_,group371,57424
d2phla1,group145,51182
d1g2ha_,group7,46689
d1baza_,group25,47598
d2chr_1,group160,51604
d1qk9a_,group247,54171
d2chr_2,group277,54826
d1e0ca1,group197,52821
d1bwda_,group321,55909
d1qjva_,group143,51126
d2hlca_,group126,50494
d1l9ga_,group89,52141
d1j20a1,group184,52402
d1cmba_,group25,47598
d1qama_,group214,53335
d1eija_,group5,46950
d1oe1a2,group49,49503
d1kx5d_,group12,47113
d1gyxa_,group148,55331
d1ny721,group208,88633
d1ny722,group208,88633
d1bola_,group320,55895
d2cy3__,group77,48695
d1dpta_,group297,55331
d1iqqa_,group320,55895
d1ep0a_,group145,51182
d1g9pa_,group180,57059
d1h641_,group113,50182
d1nrb__,group362,57095
d1ew0a_,group159,55785
d1t1da_,group138,54695
d1bvyf_,group177,52218
d1j8ca_,group251,54236
d1iru1_,group336,56235
d1c4xa_,group217,53474
d1kfsa1,group206,53098
d1d8ba_,group31,47819
d1a3qa2,group47,49417
d1opc__,group4,46894
d1ccwb_,group81,51703
d1iy9a_,group214,53335
d1ea9c2,group138,51011
d1m1xb2,group110,53300
d1ea9c1,group408,81296
d1smta_,group4,46785
d1m1xb5,group365,57196
d1l8aa3,group102,52922
d1hynp_,group315,55804
d2foka4,group105,52980
d1euma_,group26,47240
d1d9ca_,group16,47266
d1gdoa_,group169,56235
d1k6wa2,group158,51556
d1fjgq_,group116,50249
d1owfa_,group42,47729
d1bd3a_,group109,53271
d1bx7__,group180,57262
d1n6va2,group79,49265
d1nbaa_,group189,52499
d1kj1d_,group142,51110
d1eh6a1,group8,46767
d1kgya_,group52,49785
d1nkzb_,group357,56918
d2mpra_,group179,56935
d1atx__,group183,57392
d7mdha2,group339,56327
d1klfb2,group47,49401
d1vfya_,group394,57903
d1e53a_,group199,57889
d1f2ri_,group252,54277
d1mek__,group198,52833
d1jwoa_,group305,55550
d1ub7a2,group238,53901
d1trb_2,group167,51905
d1edg__,group81,51445
d1fr2b_,group126,54060
d1lj5a_,group345,56574
d1ew2a_,group222,53649
d1g8ka2,group228,53706
d1ix5a_,group264,54534
d1nsj__,group154,51366
d1gxya_,group173,56399
d1dlc_1,group99,49785
d1ayfa_,group130,54292
d1tkia_,group333,56112
d1cv8__,group125,54001
d2apr__,group128,50630
d1azza_,group126,50494
d1bmv11,group419,88633
d1lq9a_,group280,54909
d1dxea_,group161,51621
d1kv8a_,group154,51366
d1buca2,group348,56645
d1i6pa_,group204,53056
d1cpy__,group217,53474
d1uox_1,group155,55620
d1bhu__,group51,49695
d1i07a_,group58,50044
d1uox_2,group155,55620
d1lpla_,group58,74924
d1qq4a_,group66,50494
d1aisa2,group324,55945
d1gff2_,group420,88645
d1k4ga_,group81,51713
d1fuia1,group64,50443
d1bhi__,group192,57667
d1ezvb1,group200,63411
d1e58a_,group211,53254
d1luia_,group305,55550
d1b9ra_,group254,54292
d1jb0e_,group58,50090
d1gqva_,group244,54076
d1hwmb2,group120,50370
d1hwmb1,group120,50370
d1eo0a_,group29,47676
d1b88a_,group78,48726
d1lp3a_,group420,88645
d1eh9a3,group157,51445
d1eh9a2,group73,51011
d1efub2,group272,54713
d1m53a1,group138,51011
d1efub4,group272,54713
d1qgoa_,group118,53800
d1beba_,group133,50814
d1uok_2,group157,51445
d1uok_1,group73,51011
d1mola_,group132,54403
d1qf6a1,group202,52954
d1dhn__,group155,55620
d1fjgc1,group141,54814
d1i25a_,group361,57059
d1dxsa_,group31,47769
d1zin_2,group196,57774
d1thx__,group101,52833
d1huw__,group16,47266
d1k0ma1,group26,47616
d1d0na5,group311,55753
d1g0da3,group81,49309
d1jgga_,group7,46689
d1jd0a_,group140,51069
d1ivha1,group25,47203
d1ivha2,group348,56645
d1pce__,group374,57467
d3seb_1,group62,50203
d2liga_,group14,47170
d1hz8a2,group365,57196
d1od5a2,group78,51182
d1rypb_,group336,56235
d1n7oa1,group40,48230
d1otha1,group224,53671
d1otha2,group224,53671
d1e5qa2,group149,55347
d1cjca1,group167,51905
d1fjgm_,group13,46946
d1rpja_,group236,53822
d1d0na3,group158,55753
d1imhc1,group408,81296
d1e19a_,group220,53633
d1n1ta2,group136,50939
d1dfca2,group63,50405
d1hms__,group133,50814
d1n1ta1,group55,49899
d1pea__,group119,53822
d1f6fb1,group79,49265
d1pft__,group196,57783
d1k3xa3,group194,57716
d1ixh__,group120,53850
d1k4ma_,group183,52374
d1xvaa_,group111,53335
d1jeta_,group120,53850
d1i3oe_,group395,57924
d1qf6a4,group156,55681
d1kpf__,group128,54197
d1i7ha_,group254,54292
d1rro__,group35,47473
d1h72c2,group142,55060
d1h72c1,group129,54211
d1idpa_,group132,54427
d1blu__,group278,54862
d1o1za_,group164,51695
d1az9_1,group106,53092
d1n9la_,group159,55785
d1iaka2,group261,54452
d1bi5a2,group121,53901
d1bgp__,group57,48113
d1kopa_,group140,51069
d1muwa_,group81,51658
d1ddza1,group204,53056
d1ngna_,group38,48150
d1jjua4,group408,81296
d4mt2__,group198,57868
d1e43a1,group73,51011
d1hroa_,group6,46626
d1e43a2,group157,51445
d1e79h1,group2,46604
d1gca__,group236,53822
d1n4ya_,group378,57552
d1cf9a2,group347,56634
d1fo4a3,group269,54665
d1kv3a3,group81,49309
d1kv3a2,group81,49309
d1pne__,group159,55770
d1ks9a1,group39,48179
d1ks9a2,group82,51735
d1iexa1,group81,51445
d1iexa2,group90,52279
d1h2sb_,group410,81321
d1l6ra_,group177,56784
d1fp2a2,group111,53335
d1fp2a1,group4,46785
d1es9a_,group90,52266
d1ftra2,group142,55112
d1ftra1,group142,55112
d1pmi__,group78,51182
d1qlac_,group206,81343
d1ezwa_,group163,51679
d1m6ia2,group83,51905
d1h5ba_,group78,48726
d1ocri_,group207,81415
d1heta2,group82,51735
d3cla__,group98,52777
d3pmga3,group117,53738
d1c4oa2,group97,52540
d1gega_,group166,51735
d1afwa2,group238,53901
d1egja_,group79,49265
d1f4ia_,group5,46934
d1ihma_,group419,88633
d1hdma2,group133,54452
d3sdha_,group1,46458
d1g4ma1,group46,81296
d1omia1,group4,46785
d1g6aa_,group346,56601
d1oeba_,group108,50044
d1ap6a1,group5,46609
d1dmua_,group105,52980
d1md0a_,group4,46785
d1o4ta_,group78,51182
d1hi7a_,group375,57492
d1i4na_,group154,51366
d1quba5,group188,57535
d1b7go2,group298,55347
d1gnwa1,group26,47616
d1euwa_,group80,51283
d1gsoa2,group93,52440
d1ez0a_,group229,53720
d1on3a1,group87,52096
d1i71a_,group185,57440
d1on3a2,group87,52096
d1n26a3,group79,49265
d1n26a2,group79,49265
d2dri__,group236,53822
d1m15a2,group323,55931
d2scpa_,group23,47473
d1qlca_,group112,50156
d1kaca_,group101,49835
d1hr6b2,group397,63411
d1pbv__,group42,48425
d1nvha_,group196,57829
d1i39a_,group206,53098
d1e4ea1,group186,52440
d1dova_,group14,47220
d1fpza_,group100,52799
d1nj1a3,group309,55681
d1l1za3,group385,57716
d1nj1a1,group202,52954
d1dm5a_,group49,47874
d1qtra_,group217,53474
d1ig6a_,group4,46774
d1ny711,group208,88633
d1jkga_,group260,54427
d1ozna_,group171,52058
d1tnra_,group102,49842
d1exsa_,group69,50814
d1qgia_,group124,53955
d1j6na_,group116,53686
d1fr2a_,group18,47345
d1ju5a_,group305,55550
d2ayh__,group105,49899
d1prtb2,group175,56436
d2hipa_,group191,57652
d2hgsa1,group186,52440
d1f06a2,group149,55347
d1ntea_,group60,50156
d1hc7a1,group104,52954
d1ng4a2,group257,54373
d2ceva_,group193,52768
d1gjwa1,group73,51011
d1tfxc_,group368,57362
d1k3ia2,group52,49785
d1gjwa2,group81,51445
d1pqsa_,group252,54277
d1ytba1,group163,55945
d1ytba2,group324,55945
d1mu5a1,group203,46946
d1dd2a_,group148,51230
d1feca2,group167,51905
d1enfa2,group256,54334
d1mxa_3,group327,55973
d1enfa1,group114,50203
d1m1xa4,group72,69318
d1oqva_,group263,54523
